EntryID,cluster_id
O43070,unique
Q9VC35,unique
Q9WVJ4,unique
P01165,unique
Q42112,Q9PV90
P61847,unique
Q66HH2,unique
Q6N075,unique
O81007,unique
P00939,Q9SKP6
F4J339,unique
Q9ESX5,Q9LD90
Q9M3H5,unique
I1WVY3,unique
P53157,unique
O13986,unique
Q4H4B6,unique
P30300,unique
Q92887,unique
Q8IV04,unique
P53962,unique
P69682,unique
P91679,unique
P87128,unique
Q9D3P9,unique
P0AGH3,unique
P78854,unique
Q9VTE2,unique
F4K6X0,unique
P52758,unique
P61022,unique
O70461,unique
P56484,Q91ZH4
P04620,unique
Q9DCZ4,unique
O49841,unique
H1A988,U5NE19
P9WF15,unique
Q680K8,unique
O74412,unique
O24174,C6KEM4
Q058G9,unique
Q5BP74,Q99PS2
Q62737,unique
A0A6G9KJK9,unique
Q564A5,unique
Q9P7L7,unique
Q7TQN9,unique
Q98TA4,unique
D3ZQG6,unique
Q9MAH1,unique
Q9P5N1,unique
Q9NZ01,unique
Q04616,unique
Q9P0U1,unique
D0X4R4,unique
P11531,P11532
P0AGM2,unique
Q9U1H0,unique
G2HK15,unique
Q54RA8,unique
Q61096,unique
P12114,unique
P35198,unique
O22216,unique
Q23256,unique
Q3ZCI9,unique
Q9Y5B9,unique
Q94890,unique
Q39152,unique
P08010,Q6PFJ6
P62888,Q9UTP0
Q8NI77,unique
Q9LZ39,unique
Q9FF86,unique
Q8GW19,unique
P19939,unique
P22692,unique
Q3YK19,unique
P60390,unique
Q8VYJ7,unique
Q8LGN0,unique
P05506,unique
P52554,unique
Q8WWV6,unique
P80318,Q3T0K2
P56751,unique
Q9FFC7,unique
Q8IDR3,unique
Q03763,unique
P15648,unique
Q5HYI7,unique
Q3U1T9,unique
Q5K4R0,unique
Q12552,Q64467
P0ADR0,unique
P43583,unique
Q9QXZ6,unique
P25942,unique
B4FK49,unique
F4IAX1,unique
P42696,unique
O60271,A0A0G2K6E8
Q9M2B4,unique
P38824,unique
A2ANU3,unique
P28239,unique
P32521,unique
P39523,unique
P29391,unique
O93661,unique
Q9NQL9,unique
A0A286LEZ8,unique
Q3U435,unique
O95429,unique
Q9C670,unique
Q9P7G9,Q8IQV1
Q61194,unique
Q8IWW8,unique
Q9ATM6,Q9FF53
F1T156,Q2UXR1
B0M3E8,Q9HDU3
E9Q557,unique
O14114,unique
Q8RWM6,unique
P9WLI7,unique
Q676U5,unique
Q9FN93,Q9LIG2
Q9T1W1,unique
Q9M131,unique
P27467,P28465
Q9DEI1,unique
Q9UBR5,unique
Q99JI6,P13856
Q8N5I3,unique
P42768,unique
O29537,unique
Q8GW46,unique
Q9SY88,unique
Q8N8Y2,F7FFW7
Q9D3H0,unique
O15016,unique
Q641A1,unique
Q9I3S3,unique
Q9USX4,Q55BN7
Q08746,unique
Q9C448,unique
P13224,unique
Q9FY60,unique
O35274,unique
Q62383,unique
P17362,unique
P31276,unique
Q6PAW2,unique
Q6QGD4,unique
P41137,unique
Q7XTB2,unique
P05704,unique
O14361,unique
O13977,unique
P29356,P00884
P58269,unique
P14789,unique
P23830,unique
Q8RXK6,Q94BV4
Q9H5U6,unique
O13733,unique
Q96KN7,unique
P19492,P19490
Q0P6D6,unique
Q9H6X4,unique
Q9ZUZ6,unique
Q54YU6,unique
P10518,unique
P0A927,unique
P21730,unique
P9WLL1,unique
O89053,A0A0B4KEJ7
Q3UY90,unique
Q9Y2J2,Q9JMB3
P0A6J1,unique
P50114,unique
Q9LTX3,unique
Q06139,unique
Q550Q4,unique
P25814,unique
Q2HXK8,Q9EST9
Q9CA42,unique
Q9ZSP5,unique
P13234,unique
Q8IZC4,unique
O22793,unique
Q5HYL7,unique
Q9FND4,unique
O23076,unique
O54753,Q8VD48
C0HLT8,unique
P10600,Q6T7C3
Q921F2,A0A2R8Q8T5
O43035,unique
Q9LR78,unique
Q6PFY8,unique
P09631,unique
Q9WUQ1,unique
Q43316,unique
P53723,unique
O77438,unique
Q9Z1Q9,A0A024RCN6
Q9ULQ1,unique
P15431,A4FUK8
Q9M0J5,unique
Q99675,unique
P21275,O93369
P38319,unique
Q5EIC4,unique
G2TRL7,unique
Q54F23,unique
Q8TEB1,unique
O84467,unique
P34927,unique
Q9LU63,unique
P11717,unique
Q9Z2D3,unique
O60055,unique
P56277,unique
P13838,unique
Q23647,unique
Q54C92,unique
P48163,Q9NIW2
P18408,unique
Q9NY56,unique
P14741,unique
P83887,P23257
Q86YR5,unique
P11277,F6W8M4
P08200,unique
P15380,unique
Q9UUG2,unique
Q17800,unique
Q8IWB7,unique
Q0JFH7,unique
O02766,unique
O76050,unique
P42453,unique
P62830,Q873R3
P21170,unique
Q9HAW4,unique
O23264,unique
Q7JYV2,unique
Q9SF55,Q9SI96
Q6I7R3,unique
P0ADY1,unique
Q70AK3,unique
Q8ILT4,unique
Q9JI51,unique
Q5TKA1,unique
P23447,unique
O35445,unique
Q66HD0,unique
Q6PII3,unique
Q9FMI7,unique
Q8JG70,Q90WY6
P04982,unique
Q06062,unique
P9WPT3,unique
P0AFI9,unique
Q96IK5,unique
P9WJE3,unique
Q6QGD8,unique
P9WHA5,unique
F4KF16,unique
P23634,Q64568
Q8TC84,unique
P80020,unique
Q96C92,unique
Q9NX45,unique
P0ABX2,unique
P0AC55,Q9ZST4
O13695,unique
A5F5X1,unique
Q01881,unique
P0C388,P0C387
P15822,unique
A3KPF8,unique
P0C338,unique
Q9GYH7,unique
P00741,unique
Q9SW80,unique
Q1PE15,unique
P06525,F4K7D6
Q64331,A0A590UJ40
Q96EI5,unique
Q17569,unique
O14197,unique
P84140,unique
L7X3S1,unique
O35431,unique
Q966L3,unique
Q9H211,unique
Q9TVQ5,unique
Q9SIU0,unique
P53218,unique
Q92966,unique
P23485,unique
Q14587,Q05481
Q9ULE3,unique
P09486,Q14515
Q09066,unique
O57604,unique
P46672,unique
P52483,Q969T4
Q9VYY9,unique
O88853,unique
P14647,unique
Q02326,unique
Q6FJH4,unique
P48774,Q6PFJ6
Q9XIB5,unique
O00167,F1LX86
P75780,unique
Q8BRJ3,unique
Q9LI74,unique
Q10093,unique
O88811,unique
P35232,A8DYI6
P24720,unique
Q9NY28,unique
Q6PDK2,unique
G9LZD7,unique
P05370,Q8L743
P25070,unique
P04961,A0A287ABG2
Q9ZSK2,A8MR09
M1RNJ8,unique
Q9LKG8,unique
P75859,unique
P84076,Q5PQN0
P21189,unique
P24393,unique
O54724,unique
Q84TE6,unique
Q2T9Q6,unique
Q5SSW2,unique
Q6PJT7,unique
A0A1X9PY88,unique
Q8BXN7,unique
Q9BXL6,unique
O43052,unique
Q9UQX0,A0A1D8PQH5
P48059,A0A8I5ZKY9
Q9BWT3,unique
Q6AVI1,unique
Q9WTV8,F1Q5N3
Q10S82,Q5B0L2
P43364,P43364
Q8BH97,V9HW95
Q6IZB5,unique
Q9I6J1,unique
P69974,unique
O75874,B7Z0E0
P38927,unique
Q8N6M8,unique
P10563,unique
P03872,unique
Q8VIM4,unique
Q9SMM9,unique
Q8CG70,unique
Q9UAS6,unique
P50904,unique
Q9SIY8,Q9SIY8
Q9Y623,A0A0N4STT5
P27779,unique
Q9FF29,unique
Q55GS2,unique
Q6UVM4,unique
Q8JZX4,unique
Q3E705,unique
O14299,unique
Q8JFY9,unique
Q7LL04,unique
Q8N5U6,unique
Q9M2J7,unique
P55228,unique
Q54F44,unique
Q9STE8,unique
Q708S8,Q708S3
P47069,unique
Q9I9L0,unique
Q8L6Y4,unique
P63075,Q4R0X9
P02299,A8MRL0
Q9J3M8,unique
Q8IYR0,unique
Q9BZG1,unique
Q6DHH7,unique
Q924U5,unique
Q9JLT4,Q16881
Q9N658,unique
Q92876,Q9D140
Q80T14,D7PS88
B2RXV4,unique
Q99MR6,unique
Q14BT6,unique
A1A278,unique
Q9UH17,B0QYD3
Q9QY76,unique
A9CQL8,unique
P87114,unique
O95757,A0A024RDS1
Q17604,unique
Q78IK2,unique
P32357,unique
Q8R366,unique
Q7ZYQ0,unique
P84824,unique
Q969L4,unique
P33228,unique
P0A698,unique
P56383,unique
O60262,A0A8I6GAY3
Q08830,unique
P20181,unique
O60130,unique
Q8IVI9,unique
Q8N5C8,unique
Q96NA2,unique
Q9GZL8,unique
P23877,unique
Q9TR36,A0A0B4KGG5
Q9XIM0,unique
P27815,P27815
Q7SZC2,unique
B7SXM5,unique
O45784,unique
Q4QQS8,unique
Q9H172,unique
Q0WR66,unique
F1B281,unique
A0A1R3S3A8,unique
P38130,unique
P83673,unique
P40688,unique
Q07528,unique
P01097,unique
Q8GXU5,unique
P86173,unique
Q8CD60,unique
Q9NX58,unique
Q920C1,unique
O74740,unique
Q5GH67,unique
Q922L6,unique
O59796,unique
Q15172,P78759
P0AB28,unique
Q0P891,unique
Q13469,unique
P49928,unique
P9WKB5,unique
Q5EBA8,unique
P9WGE1,unique
Q9SPU7,unique
F4JNB7,unique
O75147,unique
P18760,Q549N0
Q3SYC2,Q9DCV3
Q9LYW9,unique
Q9LJF5,unique
Q9H361,Q9U302
Q9NY97,unique
Q9LIA8,O60701
Q9LVR0,unique
P75959,unique
Q8GY23,unique
P26630,A0A0R4IQL7
Q9U2G5,unique
Q08999,unique
Q96M86,unique
Q9VBZ5,unique
P49019,unique
P31755,unique
D6VTK4,unique
Q9BE41,A0A0N4STT5
O34755,unique
P74102,unique
Q9NUN5,unique
Q5AJC0,unique
Q4KLL0,unique
Q8IYH5,unique
F4KB79,unique
Q84TD8,unique
O64896,unique
Q9N3T5,unique
P37128,unique
Q95UN8,unique
Q62160,unique
Q9LIR4,unique
Q6ZUT1,unique
Q8LC59,unique
P77495,unique
Q09948,unique
Q54MH8,unique
A0A348AUW0,I7H727
Q29551,Q386P1
P59226,A8MRL0
Q8N127,A0A2I3BR00
Q96IZ7,unique
P15308,unique
Q9V7A4,unique
W8JIS5,unique
P32490,unique
O74856,unique
Q9LZP8,unique
Q9P7R6,unique
C0HL03,unique
O75116,F1R417
P07091,unique
Q13618,unique
Q86YL5,unique
O95295,unique
P0ADP9,unique
P85968,G8BFS5
Q8K1M6,unique
P53937,unique
Q9NZJ7,unique
Q9FJ10,unique
B0V2N1,Q13332
Q4VX76,unique
Q08271,unique
Q52008,unique
P47869,Q16445
Q3ULW6,unique
P06437,unique
P00429,unique
A7S5D9,unique
P19117,unique
Q92ET8,unique
Q9BUY7,unique
Q9VRK8,unique
P10592,Q59EJ3
P53413,O60663
Q94AF2,unique
P32526,unique
Q91YH5,E9QGX9
O75771,unique
Q9LSD6,Q387T4
P18066,Q7ZVP2
Q9JK66,unique
Q0JQF7,unique
Q8VYN9,unique
Q9H0C5,Q9BX70
Q9UUF7,unique
Q8AYD0,unique
Q96P88,unique
O15084,unique
Q3V3F6,unique
A9QNE7,unique
Q8GWQ2,unique
O75593,unique
Q04868,unique
Q9P3U9,unique
Q9R045,unique
O94763,unique
Q6Q783,unique
P51410,P49209
P54802,unique
Q9ESQ9,unique
Q9LVV5,unique
Q8L999,unique
Q86UF1,unique
Q61453,unique
Q97QD4,unique
Q03430,unique
Q9Y535,unique
G5ECJ6,unique
O48849,unique
P01615,P01633
Q9NRG7,unique
O93803,unique
P0C305,unique
Q64093,F6SPX0
O75223,unique
Q96DY5,unique
O94495,unique
P32829,unique
Q8NG99,Q8NGR9
P80404,H3BNQ7
P84480,unique
O16881,unique
Q9CAM7,unique
P52871,unique
P53042,Q84XU2
Q7KQJ9,unique
Q7BVH7,unique
Q9QYB2,Q9UI36
Q8K4J2,unique
Q80XU3,unique
Q99496,unique
Q9ZPW7,unique
O61742,unique
Q9DD02,unique
Q9W5G6,unique
Q2R0K3,unique
P23709,unique
Q9UKM9,unique
P29120,unique
Q84LB6,Q9VHJ8
Q08726,unique
Q9C1W8,unique
Q94AK6,unique
Q9LRB0,unique
G5EEM1,unique
O80874,unique
P86303,unique
O14350,unique
Q03262,unique
Q8ZNR3,unique
Q09460,unique
Q9SM23,unique
P11232,unique
O80507,P40228
H9JW43,unique
A0A5F8MPU3,unique
P95257,unique
P25859,unique
G5ECL4,unique
P42003,O96660
P54313,A0A3S5ZPL0
Q5MIZ7,unique
Q0P8J8,unique
Q6ENF0,unique
P13679,unique
Q4KL71,unique
P42842,unique
Q6ENG9,unique
P62136,Q4WHW6
Q25BW5,unique
Q6NY64,A2BG80
P22887,unique
A2AH22,unique
P43358,P43364
A0A5B9,unique
O04834,Q6PBX2
P46664,Q02787
Q15005,unique
P75476,unique
P0DW81,unique
Q9I928,unique
Q8GZ87,unique
Q9I5I6,unique
P25847,unique
Q9VVD9,unique
Q6MWZ7,unique
Q8N7C3,unique
Q8GZP6,unique
O00222,P35400
Q9Y3E1,unique
Q9H2B2,unique
Q59PR9,unique
Q42598,unique
Q80YR5,unique
Q9P6M2,unique
P51532,Q9HBD4
Q9FKV0,Q9SUC6
P18111,unique
P0CG12,unique
Q9BQ39,unique
P08753,W5U9Q0
O00187,unique
Q9ULP9,unique
Q8TD23,Q05481
Q9LS26,Q336V9
P49657,unique
Q8NFF2,unique
P01589,unique
Q8CIW6,unique
Q9NF14,unique
Q09812,unique
P98084,unique
P42891,P0DPE2
Q9WVL5,unique
Q8L7R3,unique
Q2KMM4,Q9BYJ1
P01566,Q75UL5
P79679,unique
O23487,unique
Q9NY93,unique
Q641G7,F4JUL8
Q9R1V3,O96660
P09016,unique
Q14916,unique
Q5BAS1,unique
Q9V6H2,unique
Q9FT53,unique
A2CEH0,unique
A0A0G2Q9D6,unique
P31721,unique
Q96GC5,unique
Q9P260,unique
Q86A77,O59823
Q99714,unique
Q96QU6,unique
Q9NX07,unique
Q6DEJ6,unique
Q9CQV1,unique
O43557,unique
Q9ASQ7,unique
O74444,unique
O99019,unique
P9WPP5,unique
Q60653,Q62982
Q96703,unique
Q9EQZ5,unique
G3XD64,unique
P26993,unique
Q80ZJ8,unique
O08587,unique
Q8NGX9,unique
Q92889,unique
Q08961,unique
Q9FHX8,unique
Q8WV48,unique
Q502X0,unique
Q9SB31,unique
P9WL83,unique
Q92772,unique
P73245,unique
Q1PFD9,unique
Q9GZZ9,unique
Q95XR2,unique
P50999,Q2T9X2
Q0WVH0,unique
O09049,P25031
Q6TCH4,unique
O59779,unique
Q9D5R3,unique
Q9STK8,unique
Q9BQP7,unique
Q60631,P87379
P73456,unique
O35878,unique
Q9H9C1,unique
O42273,unique
Q8BLU2,unique
Q8N4U5,unique
Q9HDW9,unique
O42914,unique
Q9FMV4,unique
Q8IZV5,unique
O13880,unique
P56766,Q6ENH4
Q9ALJ4,unique
Q9NRR4,unique
A0A346LU63,unique
Q460N3,unique
Q810W9,unique
P69697,Q1PAB4
Q06219,A0A024R126
P0C2W1,unique
Q9FIX5,unique
Q9UN73,Q91Y11
P0AGA2,unique
Q9P2T0,unique
Q948T9,unique
D3ZF77,Q9JLI0
Q9FI79,unique
P47993,unique
Q54KJ1,unique
Q09423,unique
Q9SL79,unique
O94271,unique
Q7CHH5,unique
O04023,unique
Q9JHL1,unique
P21754,unique
O15119,unique
P49758,unique
P0DUI2,P18926
Q8LAX3,unique
Q9Y6M4,A0A0B4KHL4
P0A7J7,unique
P40480,unique
P61763,Q99PV2
Q96LL4,unique
Q61469,P97544
P49716,unique
Q8NEW0,unique
Q69ZK5,unique
Q9QYB1,unique
Q6FPN0,unique
O75369,F1QL44
Q96BT3,unique
P84814,unique
Q7L2J0,unique
P40090,unique
T2MBC4,unique
P22366,unique
Q12232,unique
P40294,unique
P0C5B6,unique
Q04359,unique
Q9R1V4,A0A8I5Y6E8
G3XCV0,unique
O14559,unique
Q8WZ94,A0A2I3BR00
Q8VI94,unique
Q9R186,Q91WD2
P56799,unique
Q1LWV4,B0R107
P35268,P50887
Q6BDI9,unique
P40921,unique
Q15746,unique
Q93244,B9DFR6
Q62773,unique
P9WQ05,unique
P70096,unique
O00559,unique
Q08409,unique
Q7Z3B3,unique
Q40704,F4J705
P35348,unique
Q9NA13,unique
P48379,unique
P38237,unique
P77757,unique
Q96DN5,unique
P58012,unique
Q99ML0,unique
O70176,unique
P11655,unique
A7BJS7,unique
P17790,unique
P0CG30,G9J6Q5
Q01417,unique
P0ABJ6,unique
Q8VCA5,unique
P14869,Q9PV90
Q8R2U0,unique
Q8VYU8,unique
Q8TCB7,unique
Q9M3D7,unique
P59826,unique
P29255,unique
Q8K386,Q504M8
Q42600,unique
O60167,unique
Q09685,unique
O65934,unique
Q96WV9,unique
O59705,unique
P24255,unique
Q8RXH2,unique
Q96FI4,unique
P56270,unique
Q7RTT5,unique
Q7TPB0,unique
Q8I7I5,unique
Q86X24,unique
P08003,unique
P0A9R4,unique
P28305,unique
Q9R0T3,unique
O76156,unique
P09496,Q6IRU5
Q3ULA2,A0A0S2Z507
Q9LYQ8,O65554
O22914,unique
O22212,unique
Q06278,P47990
O13854,unique
Q62904,unique
Q9VDE6,unique
Q920P0,unique
Q0V7S0,unique
P32905,Q4GWZ2
Q5SZD1,unique
P50947,unique
P23680,unique
Q9M1R2,unique
Q9NZT1,unique
P23935,unique
O77257,unique
Q5AG40,Q57V58
P53230,unique
Q9FTY0,unique
P0ADV5,unique
Q9V3K3,G0RYC2
Q9NJ98,unique
Q8CGF1,unique
Q8WUX1,unique
P34147,P34147
Q8WV28,unique
Q9M202,unique
P83318,unique
Q9FYE6,unique
Q69Z08,unique
P54495,unique
P46013,unique
P31125,unique
P27202,unique
O95229,unique
P0C0W1,Q580K6
Q9P380,unique
Q84VK7,unique
H9D1R1,unique
Q99NH7,unique
P0A756,unique
Q9LN94,C0Z241
P38590,unique
B6EU02,unique
Q9UUD8,unique
Q8W472,unique
P40096,unique
Q12121,unique
B2RXB0,unique
Q961C9,unique
Q9Y7U4,unique
P0CY15,unique
P23670,unique
P53260,unique
Q8NGT9,Q9QZ18
Q8IN81,unique
P50429,unique
P76044,unique
Q09450,Q386P1
Q6RI63,unique
Q99PA5,unique
O94524,unique
B9U3F2,unique
Q9W3Y4,unique
P38822,unique
C0HL85,unique
Q16288,Q03351
P61255,Q9VVU2
Q9F5K6,unique
Q8BVW0,unique
Q9UJ68,unique
P83882,J3KQN4
Q9QZH4,unique
Q3UJB9,unique
Q582G4,unique
C0HJQ2,unique
P15259,G8BE40
Q7Y228,unique
P0DTQ1,unique
O08625,unique
P96503,unique
Q9T0F3,unique
Q9W1I2,unique
Q9QUK6,unique
Q51392,unique
O60658,A0A8I5ZTX5
P34167,unique
Q9XTM1,unique
Q6FJZ6,unique
Q9M0M4,unique
P56817,unique
Q6FP17,unique
Q9SIQ7,Q6AVI8
P17846,unique
P17571,P11832
Q08AI6,unique
Q7X6P3,unique
Q8GZ29,O49301
Q8AYB8,unique
Q9SD61,unique
P41073,unique
Q10250,unique
P76081,unique
Q9Z277,unique
Q3UTB7,unique
Q9CA67,unique
O14370,M0QXF9
P26717,unique
Q61362,Q62010
P06857,P17892
Q8CJ27,unique
O73875,unique
P56923,unique
P04909,F4KCF4
Q8T673,unique
Q9FRL8,unique
Q38970,unique
A0A0H3JX98,unique
P86574,unique
P61622,unique
Q96RL6,unique
P56520,P56518
P08461,unique
Q80WV3,unique
P41095,Q9PV90
P51684,unique
P60780,unique
Q9VKB9,unique
Q9H6S3,unique
Q9JMJ2,unique
Q9CWP4,unique
P18695,P23257
P10277,unique
Q8NCN4,unique
Q6PH57,A0A3S5ZPL0
Q55F37,unique
A6NKQ9,unique
P00563,Q6P8J7
P41374,unique
O01635,unique
Q00788,unique
Q9C944,Q7ZU59
Q10154,unique
Q75UR0,A0A8I6AA94
Q6XHB2,unique
P0AG67,unique
Q9M1A8,unique
Q99MH5,unique
Q96NL8,unique
Q03860,unique
Q9Y7Q9,unique
Q9CPX5,Q4KLN5
O60711,unique
A2RTF1,unique
P53966,unique
Q9WVR8,unique
A0A0M4KE44,unique
P84740,unique
Q96N64,unique
Q70PY2,unique
Q9SEI4,Q9SZD4
Q8LE43,unique
O43597,unique
Q94ID6,unique
A1KYZ2,P49455
Q8GSA7,unique
P33324,unique
P38138,unique
Q54BW5,unique
Q9JKT7,unique
Q0WMY5,unique
Q96RR1,unique
Q55C57,unique
O94385,unique
Q8K3W3,unique
P04618,unique
Q8FDQ2,unique
O94832,unique
P49589,unique
Q93DY4,unique
P9WGV5,unique
P23560,Q9YH42
Q84N49,unique
P05549,Q92481
Q3V132,P40941
P05451,P25031
Q9LUS8,unique
Q9USV0,unique
P9WKD1,unique
Q39080,unique
Q2M2H8,unique
Q03375,unique
P70392,unique
O35099,unique
Q2NKQ1,unique
A0A0A1C930,unique
P39038,Q4U1I6
Q3ULZ2,unique
Q6TLJ2,unique
P9WQ91,unique
P19335,unique
Q8LGH4,D3ZK73
Q15BH7,unique
G5EDP2,unique
P28685,Q9W675
O70174,P09483
P32464,unique
P32454,unique
Q9USK8,unique
Q6PB97,unique
Q7TN39,unique
Q9BXW9,unique
O59763,unique
P09914,unique
Q8WU17,unique
P0A972,D9HP82
Q8GXP1,unique
P76108,unique
P29197,Q09864
O75081,A0A0A0MSU1
P0A887,unique
P24228,unique
Q9I925,unique
Q9R0N4,unique
Q9VLU0,unique
F4I4K7,unique
P35567,F1SPH6
P0DMW2,unique
P08536,unique
P93198,unique
Q91ZZ5,unique
P14164,unique
P0ADK4,unique
P01213,unique
Q8LF36,Q8IN89
Q8VCD5,unique
P0A766,unique
P22217,unique
Q9PRP6,unique
Q8CF98,unique
Q9JLT0,F1R3G4
F4JGR5,unique
E9PT87,unique
Q60766,unique
Q9FXA2,unique
Q9UBQ7,unique
P25961,unique
P15808,unique
P32662,unique
Q9ET58,unique
P60896,unique
Q9SHM1,unique
Q02465,unique
O00757,Q6RYT0
C0HM59,unique
P0AEU0,unique
Q09767,P36406
Q96RP7,unique
Q9JKT2,unique
P48966,unique
Q9P0K9,unique
Q54Y26,unique
P25085,unique
P21068,unique
Q941A6,unique
C0LGH2,unique
Q03389,A0A445AGS0
P55289,B3DGG4
Q6FJN0,unique
Q9LY50,unique
Q01432,Q01433
O15091,unique
Q62918,unique
Q6NPN3,unique
O13938,unique
O60062,unique
Q5ACW8,unique
Q6ZQJ5,unique
Q55EU6,A5A3E0
Q61247,unique
Q9LI84,unique
Q8Y7H7,unique
Q10102,unique
Q8VCG3,unique
O23078,unique
Q9Y705,unique
Q91X05,unique
P0C2Y9,unique
P00893,unique
P55824,unique
Q9Y709,G5ECU1
D3ZF92,unique
O23349,unique
Q5TGU0,unique
P11747,unique
P48199,unique
P40945,P36406
P0DO31,unique
O13766,unique
Q8VY13,unique
P0A7F3,unique
P34329,unique
Q43716,unique
Q9XJR9,unique
O13637,unique
P04627,A0A2R8Y8E0
P17309,unique
P38360,unique
Q9K2S2,unique
P0AD21,unique
Q6NKN9,unique
Q5V463,unique
Q3E8W4,unique
Q969V4,unique
Q8IV38,unique
Q5STE3,unique
Q64336,unique
Q14324,A0A1L1QZU5
Q6PII5,unique
P35713,unique
Q86Z23,unique
Q9ZW06,unique
D9UNB2,unique
B3EWN8,unique
Q9P3V3,unique
P93749,unique
O94606,unique
P15364,unique
Q01976,unique
P70429,unique
Q9C0Y5,unique
Q9FGT8,unique
Q9M1Q9,unique
Q80YV2,unique
P21810,B5X3L8
Q8K0Q5,unique
Q9JK54,unique
Q9SNE5,unique
Q914J4,unique
P47122,unique
P61006,Q95QV3
F7BWT7,unique
D0ZSY8,unique
P23643,unique
P10796,unique
B1Q236,unique
Q5JQC9,unique
Q01649,unique
P0C1X8,unique
Q14554,unique
Q8SXL2,unique
Q6PGZ3,unique
Q8TA94,Q8N8Z8
Q9I509,unique
P00441,unique
P09194,unique
Q9M1X0,unique
Q9C7F7,unique
Q94B52,unique
Q8K4Q7,unique
B3H754,unique
Q9LET0,unique
Q9Y794,unique
Q9T076,unique
Q8N653,unique
Q7L8W6,unique
D0ZRB2,unique
P38573,unique
Q9XZ63,unique
O14368,unique
Q9N2Z7,unique
Q9VSK8,unique
Q86SQ6,unique
Q6S7F2,unique
Q58G82,unique
P22239,unique
P64581,unique
Q2TAD5,unique
P82873,unique
P0CX29,Q6FLA8
P40647,A0A2R8QLT0
Q9P6M3,unique
Q9USK7,unique
Q7ZXW9,unique
P18671,unique
B3EWQ3,unique
Q91WQ5,unique
Q09289,unique
Q381F9,unique
Q42522,unique
A0A096P8D3,unique
Q5AIR7,unique
O94631,unique
Q06497,unique
Q8NK02,unique
Q9M6E9,unique
O74173,unique
P0C461,O14182
A7TZE6,unique
Q4QRK0,unique
P83961,unique
P38282,unique
P43596,unique
P14844,unique
Q8K3G5,unique
P15655,P09038
P0AAZ0,unique
O14757,unique
P36573,unique
Q57Z03,unique
Q9M1G6,unique
P0A6U5,unique
Q8N511,unique
Q9UNW9,unique
P0C331,unique
Q8IYM0,unique
Q8GWK1,unique
O54814,Q91ZH4
P55017,unique
Q80T41,unique
Q9M1Y3,unique
